latitude,longitude,kde,kde_norm
-38.322,143.8986,49.033,80.44
-38.322,144.4928,50.559,82.94
-38.322,145.087,51.09,83.81
-38.322,145.6812,50.778,83.3
-38.322,146.2754,49.87,81.81
-38.322,146.8696,48.597,79.72
-38.322,147.4638,47.09,77.25
-38.322,148.058,45.377,74.44
-38.322,148.6522,43.425,71.24
-38.322,149.2464,41.189,67.57
-38.322,149.8406,38.654,63.41
-38.322,150.4348,35.847,58.81
-38.322,151.029,32.831,53.86
-38.322,151.6232,29.688,48.7
-38.322,152.2174,26.507,43.48
-38.322,152.8116,23.364,38.33
-38.322,153.4058,20.323,33.34
-38.322,154.0,17.435,28.6
-37.7542,114.1884,0.566,0.93
-37.7542,114.7826,0.635,1.04
-37.7542,115.3768,0.677,1.11
-37.7542,115.971,0.688,1.13
-37.7542,116.5652,0.665,1.09
-37.7542,117.1594,0.612,1.0
-37.7542,117.7536,0.536,0.88
-37.7542,131.4203,0.724,1.19
-37.7542,132.0145,1.078,1.77
-37.7542,132.6087,1.585,2.6
-37.7542,133.2029,2.298,3.77
-37.7542,133.7971,3.271,5.37
-37.7542,134.3913,4.558,7.48
-37.7542,134.9855,6.196,10.16
-37.7542,135.5797,8.199,13.45
-37.7542,136.1739,10.546,17.3
-37.7542,136.7681,13.18,21.62
-37.7542,137.3623,16.016,26.27
-37.7542,137.9565,18.962,31.11
-37.7542,138.5507,21.938,35.99
-37.7542,139.1449,24.904,40.85
-37.7542,139.7391,27.872,45.72
-37.7542,140.3333,30.908,50.7
-37.7542,140.9275,34.099,55.94
-37.7542,141.5217,37.505,61.53
-37.7542,142.1159,41.081,67.39
-37.7542,142.7101,44.637,73.23
-37.7542,143.3043,47.86,78.51
-37.7542,143.8986,50.406,82.69
-37.7542,144.4928,52.046,85.38
-37.7542,145.087,52.753,86.54
-37.7542,145.6812,52.695,86.44
-37.7542,146.2754,52.129,85.52
-37.7542,146.8696,51.275,84.12
-37.7542,147.4638,50.239,82.42
-37.7542,148.058,49.0,80.38
-37.7542,148.6522,47.469,77.87
-37.7542,149.2464,45.548,74.72
-37.7542,149.8406,43.187,70.85
-37.7542,150.4348,40.403,66.28
-37.7542,151.029,37.272,61.14
-37.7542,151.6232,33.906,55.62
-37.7542,152.2174,30.425,49.91
-37.7542,152.8116,26.939,44.19
-37.7542,153.4058,23.535,38.61
-37.7542,154.0,20.28,33.27
-37.1864,113.0,0.714,1.17
-37.1864,113.5942,0.884,1.45
-37.1864,114.1884,1.041,1.71
-37.1864,114.7826,1.167,1.91
-37.1864,115.3768,1.245,2.04
-37.1864,115.971,1.264,2.07
-37.1864,116.5652,1.222,2.0
-37.1864,117.1594,1.124,1.84
-37.1864,117.7536,0.984,1.61
-37.1864,118.3478,0.821,1.35
-37.1864,118.942,0.651,1.07
-37.1864,131.4203,0.749,1.23
-37.1864,132.0145,1.13,1.85
-37.1864,132.6087,1.688,2.77
-37.1864,133.2029,2.482,4.07
-37.1864,133.7971,3.579,5.87
-37.1864,134.3913,5.04,8.27
-37.1864,134.9855,6.906,11.33
-37.1864,135.5797,9.183,15.06
-37.1864,136.1739,11.828,19.4
-37.1864,136.7681,14.753,24.2
-37.1864,137.3623,17.833,29.25
-37.1864,137.9565,20.936,34.34
-37.1864,138.5507,23.952,39.29
-37.1864,139.1449,26.829,44.01
-37.1864,139.7391,29.585,48.53
-37.1864,140.3333,32.31,53.0
-37.1864,140.9275,35.127,57.62
-37.1864,141.5217,38.132,62.55
-37.1864,142.1159,41.325,67.79
-37.1864,142.7101,44.562,73.1
-37.1864,143.3043,47.573,78.04
-37.1864,143.8986,50.059,82.12
-37.1864,144.4928,51.818,85.01
-37.1864,145.087,52.833,86.67
-37.1864,145.6812,53.253,87.36
-37.1864,146.2754,53.303,87.44
-37.1864,146.8696,53.154,87.2
-37.1864,147.4638,52.856,86.71
-37.1864,148.058,52.327,85.84
-37.1864,148.6522,51.415,84.34
-37.1864,149.2464,49.967,81.97
-37.1864,149.8406,47.896,78.57
-37.1864,150.4348,45.205,74.16
-37.1864,151.029,41.985,68.88
-37.1864,151.6232,38.383,62.97
-37.1864,152.2174,34.568,56.71
-37.1864,152.8116,30.694,50.35
-37.1864,153.4058,26.884,44.1
-37.1864,154.0,23.226,38.1
