census_year,clue_small_area,venue_count,total_seats,avg_lat,avg_lon,outdoor_seats,avg_seats_per_venue,outdoor_seat_share_pct,venue_share_pct,venue_index_0_100
2019,West Melbourne (Industrial),4,78,-37.803722778,144.9178545086,8,19.5,10.3,0.2,0.0
2019,West Melbourne (Residential),55,2958,-37.80793123548387,144.95102780240862,570,53.8,19.3,2.4,4.0
2020,Carlton,204,15177,-37.8010118628125,144.96604343896877,3309,74.4,21.8,9.6,17.1
2020,Docklands,230,21585,-37.81802598524862,144.94579776521823,4491,93.8,20.8,10.9,19.3
2020,East Melbourne,46,7181,-37.813085069473686,144.98215089038158,819,156.1,11.4,2.2,3.7
2020,Kensington,40,5709,-37.79185153015625,144.92656792070312,557,142.7,9.8,1.9,3.2
2020,Melbourne (CBD),1177,89129,-37.8136957588455,144.96334503345145,13566,75.7,15.2,55.7,100.0
2020,Melbourne (Remainder),43,8967,-37.838708980519485,144.97875005661038,1458,208.5,16.3,2.0,3.4
2020,North Melbourne,86,4799,-37.80195064195489,144.95058049574436,678,55.8,14.1,4.1,7.1
2020,Parkville,42,3895,-37.79312242548387,144.95578819596776,1248,92.7,32.0,2.0,3.3
2020,Port Melbourne,20,1251,-37.82565154472222,144.91773425188887,430,62.6,34.4,0.9,1.4
2020,South Yarra,10,810,-37.834627262352946,144.98144748458822,140,81.0,17.3,0.5,0.6
2020,Southbank,164,20670,-37.82357383827731,144.9616396777815,4336,126.0,21.0,7.8,13.7
2020,West Melbourne (Industrial),3,68,-37.80443313,144.91810953025,8,22.7,11.8,0.1,0.0
2020,West Melbourne (Residential),49,2873,-37.807970490125,144.9511117631125,479,58.6,16.7,2.3,3.9
2021,Carlton,204,15177,-37.8010118628125,144.96604343896877,3309,74.4,21.8,9.8,17.0
2021,Docklands,201,17727,-37.81809740785276,144.94578157358282,4707,88.2,26.6,9.7,16.8
2021,East Melbourne,46,7181,-37.813085069473686,144.98215089038158,819,156.1,11.4,2.2,3.6
2021,Kensington,35,5520,-37.792423404181825,144.9279546687273,503,157.7,9.1,1.7,2.7
2021,Melbourne (CBD),1185,89272,-37.81371094644175,144.96343323582468,13444,75.3,15.1,57.1,100.0
2021,Melbourne (Remainder),44,8869,-37.83868066810126,144.97871284800001,1384,201.6,15.6,2.1,3.5
2021,North Melbourne,86,4799,-37.80195064195489,144.95058049574436,678,55.8,14.1,4.1,7.0
2021,Parkville,42,3895,-37.79312242548387,144.95578819596776,1248,92.7,32.0,2.0,3.3
2021,Port Melbourne,16,987,-37.825332855357146,144.91662444349998,312,61.7,31.6,0.8,1.1
2021,South Yarra,9,682,-37.834692606666664,144.98156268093334,118,75.8,17.3,0.4,0.5
2021,Southbank,154,20002,-37.823573137040356,144.96165564404933,4295,129.9,21.5,7.4,12.8
2021,West Melbourne (Industrial),3,68,-37.80443313,144.91810953025,8,22.7,11.8,0.1,0.0
2021,West Melbourne (Residential),49,2873,-37.807970490125,144.9511117631125,479,58.6,16.7,2.4,3.9
2022,Carlton,205,15318,-37.80096241224719,144.96608184032303,3854,74.7,25.2,10.3,18.2
2022,Docklands,201,17727,-37.81809740785276,144.94578157358282,4707,88.2,26.6,10.1,17.9
2022,East Melbourne,38,6748,-37.8132642040625,144.98235695059375,747,177.6,11.1,1.9,3.2
2022,Kensington,35,5520,-37.792423404181825,144.9279546687273,503,157.7,9.1,1.8,3.0
2022,Melbourne (CBD),1116,85096,-37.81368270659826,144.96359057628482,12709,76.3,14.9,55.9,100.0
2022,Melbourne (Remainder),44,8869,-37.83868066810126,144.97871284800001,1384,201.6,15.6,2.2,3.8
2022,North Melbourne,93,5191,-37.80195289777027,144.9502831173581,964,55.8,18.6,4.7,8.2
2022,Parkville,39,3665,-37.79257278000001,144.95605809992983,1166,94.0,31.8,2.0,3.3
2022,Port Melbourne,16,987,-37.825332855357146,144.91662444349998,312,61.7,31.6,0.8,1.3
2022,South Yarra,9,682,-37.834692606666664,144.98156268093334,118,75.8,17.3,0.5,0.6
2022,Southbank,154,20002,-37.823573137040356,144.96165564404933,4295,129.9,21.5,7.7,13.6
2022,West Melbourne (Industrial),2,69,-37.80189914666667,144.91461557566666,24,34.5,34.8,0.1,0.0
2022,West Melbourne (Residential),43,2467,-37.80769318101449,144.95117272460868,528,57.4,21.4,2.2,3.7
2023,Carlton,226,16072,-37.80102253272727,144.96608974948052,3845,71.1,23.9,11.2,20.1
2023,Docklands,183,16621,-37.81782795043919,144.94545903555743,4220,90.8,25.4,9.1,16.2
2023,East Melbourne,39,6751,-37.813105984848484,144.9822743215909,740,173.1,11.0,1.9,3.3
2023,Kensington,36,5815,-37.79228312722222,144.92762309207407,502,161.5,8.6,1.8,3.1
2023,Melbourne (CBD),1116,85096,-37.81368270659826,144.96359057628482,12709,76.3,14.9,55.3,100.0
2023,Melbourne (Remainder),41,8684,-37.83881590051948,144.97879753516884,1318,211.8,15.2,2.0,3.5
2023,North Melbourne,103,5736,-37.802024491585364,144.9502577922988,1212,55.7,21.1,5.1,9.1
2023,Parkville,40,3405,-37.79210676810345,144.9552272375345,1094,85.1,32.1,2.0,3.4
2023,Port Melbourne,18,977,-37.8254276646875,144.91653974934374,323,54.3,33.1,0.9,1.4
2023,South Yarra,9,764,-37.83466708875,144.981555721,189,84.9,24.7,0.4,0.6
2023,Southbank,151,20045,-37.82369879550661,144.96179568713657,4482,132.7,22.4,7.5,13.4
2023,West Melbourne (Industrial),2,69,-37.80189864,144.91461375933332,24,34.5,34.8,0.1,0.0
2023,West Melbourne (Residential),53,2790,-37.807866618,144.9509084832125,430,52.6,15.4,2.6,4.6
2024,Carlton,226,16072,-37.80102253272727,144.96608974948052,3845,71.1,23.9,10.5,17.9
2024,Docklands,183,16621,-37.81782795043919,144.94545903555743,4220,90.8,25.4,8.5,14.4
2024,East Melbourne,39,6751,-37.813105984848484,144.9822743215909,740,173.1,11.0,1.8,3.0
2024,Kensington,36,5815,-37.79228312722222,144.92762309207407,502,161.5,8.6,1.7,2.7
2024,Melbourne (CBD),1256,93643,-37.81354394453378,144.96341254043887,12619,74.6,13.5,58.2,100.0
2024,Melbourne (Remainder),41,8684,-37.83881590051948,144.97879753516884,1318,211.8,15.2,1.9,3.1
2024,North Melbourne,103,5736,-37.802024491585364,144.9502577922988,1212,55.7,21.1,4.8,8.1
