Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2630,Coffee and products,2022,2022,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2630,Coffee and products,2022,2022,1000 t,39,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2630,Coffee and products,2022,2022,1000 t,178,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2630,Coffee and products,2022,2022,1000 t,3,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2630,Coffee and products,2022,2022,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2630,Coffee and products,2022,2022,1000 t,175,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2630,Coffee and products,2022,2022,kg/cap,6.68,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2630,Coffee and products,2022,2022,kcal/cap/d,7.11,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2630,Coffee and products,2022,2022,million Kcal,67962.03,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2630,Coffee and products,2022,2022,g/cap/d,0.31,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2630,Coffee and products,2022,2022,t,2987.01,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2630,Coffee and products,2022,2022,g/cap/d,0.11,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2630,Coffee and products,2022,2022,t,1042.02,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2630,Coffee and products,2023,2023,1000 t,203,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2630,Coffee and products,2023,2023,1000 t,-2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2630,Coffee and products,2023,2023,1000 t,48,I,Value imputed by a receiving agency,
